Unnamed: 0,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,rolling_var_x5_10,rolling_var_y5_10,rolling_var_z5_10,rolling_var_c5_10,rolling_var_x6_10,rolling_var_y6_10,rolling_var_z6_10,rolling_var_c6_10,rolling_var_x7_10,rolling_var_y7_10,rolling_var_z7_10,rolling_var_c7_10,rolling_var_x5_20,rolling_var_y5_20,rolling_var_z5_20,rolling_var_c5_20,rolling_var_x6_20,rolling_var_y6_20,rolling_var_z6_20,rolling_var_c6_20,rolling_var_x7_20,rolling_var_y7_20,rolling_var_z7_20,rolling_var_c7_20
18,-324,253,-204,904,-424.0,250.0,-52.0,1004.0,124.0,166.0,-252.0,1036.0,162.55999999999997,36.65999999999999,626.0400000000001,245.55999999999995,150.84,8.26,151.15999999999997,67.0,155.0,36.64,685.4399999999999,135.15999999999997,162.55999999999997,36.65999999999999,626.0400000000001,245.55999999999995,150.84,8.26,151.15999999999997,67.0,155.0,36.64,685.4399999999999,135.15999999999997
19,-316,255,-260,960,-384.0,254.0,-36.0,1024.0,108.0,153.0,-216.0,1016.0,154.04000000000002,33.089999999999996,631.36,232.75999999999993,152.63999999999996,7.7399999999999975,141.56000000000003,61.24000000000001,155.84,26.4275,503.15999999999997,113.75999999999999,154.04000000000002,33.089999999999996,631.36,232.75999999999993,152.63999999999996,7.7399999999999975,141.56000000000003,61.24000000000001,155.84,26.4275,503.15999999999997,113.75999999999999
20,-308,251,-220,896,-404.0,256.0,-56.0,1000.0,96.0,162.0,-172.0,996.0,142.4,26.21,408.64,165.55999999999997,136.44,8.3475,148.16000000000003,58.55999999999999,161.6,27.110000000000003,485.2399999999999,115.83999999999996,142.4,26.21,408.64,165.55999999999997,136.44,8.3475,148.16000000000003,58.55999999999999,161.6,27.110000000000003,485.2399999999999,115.83999999999996
21,-324,256,-160,896,-404.0,249.0,-28.0,1028.0,120.0,147.0,-184.0,988.0,146.35999999999999,22.227499999999996,362.36,136.76,139.2,8.639999999999997,130.23999999999998,46.4,93.6,19.9875,481.44000000000017,111.16,146.35999999999999,22.227499999999996,362.36,136.76,139.2,8.639999999999997,130.23999999999998,46.4,93.6,19.9875,481.44000000000017,111.16
22,-292,248,-188,928,-420.0,253.0,-24.0,1028.0,124.0,145.0,-176.0,1024.0,116.6,11.747499999999997,333.7600000000001,96.8,150.84,7.7475,130.35999999999996,38.83999999999999,83.36000000000001,19.76,494.24000000000007,73.75999999999999,116.6,11.747499999999997,333.7600000000001,96.8,150.84,7.7475,130.35999999999996,38.83999999999999,83.36000000000001,19.76,494.24000000000007,73.75999999999999
23,-308,247,-192,928,-416.0,247.0,-48.0,1008.0,120.0,152.0,-196.0,1016.0,127.16,9.459999999999997,362.0400000000001,96.8,143.8,8.127500000000001,126.2,30.839999999999996,80.75999999999999,19.327499999999997,528.44,75.04,127.16,9.459999999999997,362.0400000000001,96.8,143.8,8.127500000000001,126.2,30.839999999999996,80.75999999999999,19.327499999999997,528.44,75.04
24,-300,242,-184,908,-420.0,253.0,-44.0,1024.0,124.0,150.0,-192.0,1020.0,150.84,7.7399999999999975,416.16,101.24000000000001,161.43999999999997,5.4475,127.04,30.839999999999996,80.75999999999999,19.947499999999998,523.6400000000001,82.35999999999999,150.84,7.7399999999999975,416.16,101.24000000000001,161.43999999999997,5.4475,127.04,30.839999999999996,80.75999999999999,19.947499999999998,523.6400000000001,82.35999999999999
25,-296,242,-192,908,-412.0,251.0,-44.0,1024.0,128.0,152.0,-212.0,1016.0,207.35999999999999,9.0875,495.8,89.75999999999999,161.43999999999997,6.227500000000001,122.56000000000003,26.4,101.76000000000002,26.847499999999997,517.76,82.35999999999999,207.35999999999999,9.0875,495.8,89.75999999999999,161.43999999999997,6.227500000000001,122.56000000000003,26.4,101.76000000000002,26.847499999999997,517.76,82.35999999999999
26,-284,242,-188,924,-408.0,252.0,-44.0,1020.0,132.0,152.0,-232.0,1004.0,373.56,8.9275,491.9599999999999,219.0,312.76000000000005,6.609999999999999,118.83999999999999,26.4,101.76,34.190000000000005,531.0,85.24000000000001,373.56,8.9275,491.9599999999999,219.0,312.76000000000005,6.609999999999999,118.83999999999999,26.4,101.76,34.190000000000005,531.0,85.24000000000001
27,-292,234,-204,936,-432.0,255.0,-32.0,1020.0,144.0,149.0,-216.0,1004.0,360.9599999999999,18.1275,552.4399999999999,264.44,470.56000000000006,9.49,149.23999999999998,26.04,103.8,40.927499999999995,416.43999999999994,79.16,360.9599999999999,18.1275,552.4399999999999,264.44,470.56000000000006,9.49,149.23999999999998,26.04,103.8,40.927499999999995,416.43999999999994,79.16
