,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,
213,112,172,-196,1084,12,161,-288,952,-224,238,-84,1020,
214,112,173,-184,1060,4,157,-248,968,-228,236,-88,1012,
215,112,174,-196,1072,28,157,-276,984,-224,234,-88,1012,
216,108,176,-180,1092,20,158,-268,984,-224,235,-80,1012,
217,96,184,-168,1044,24,174,-252,976,-224,235,-100,1012,
218,80,174,-144,1080,-4,168,-272,960,-244,237,-80,1012,
219,96,174,-188,1052,20,156,-264,968,-232,236,-72,1012,
220,80,180,-152,1080,-24,176,-280,952,-232,236,-88,1024,
221,84,180,-176,1064,-12,173,-284,976,-260,234,-76,1016,
222,88,177,-184,1072,-4,164,-256,960,-244,238,-80,1020,
223,92,173,-172,1060,8,161,-252,956,-244,236,-88,1012,Movement1
224,104,177,-168,1068,0,168,-248,940,-224,240,-72,1012,
225,92,175,-160,1056,-8,169,-252,956,-248,237,-80,1020,
226,88,178,-180,1048,8,161,-264,956,-248,236,-72,1028,
227,100,172,-164,1064,4,169,-260,948,-232,236,-76,1024,
228,92,176,-136,1068,-32,174,-256,968,-264,239,-76,1012,
229,84,179,-136,1056,4,178,-268,956,-276,241,-68,1028,
230,88,184,-164,1088,-40,178,-268,956,-264,239,-88,1028,
231,60,185,-176,1088,-36,176,-276,952,-292,240,-80,1028,
232,36,197,-164,1064,-104,192,-256,952,-340,246,-96,1024,
233,16,209,-172,1068,-120,194,-252,908,-360,246,-108,1016,
234,16,231,-184,1048,-152,199,-268,912,-364,245,-96,1016,
235,4,220,-184,1048,-180,205,-272,892,-396,245,-120,1008,
236,-16,232,-184,1036,-156,199,-268,896,-396,248,-116,1012,
237,-32,240,-180,1020,-196,207,-248,904,-400,249,-112,1024,
238,-32,238,-192,1036,-228,208,-272,896,-444,253,-116,1016,
239,-48,242,-176,1044,-236,207,-256,904,-432,249,-104,1016,
240,-44,251,-200,1028,-248,210,-260,868,-448,251,-108,1016,
241,-56,253,-176,1024,-276,208,-260,888,-468,251,-128,1016,
242,-56,254,-176,1024,-284,215,-260,864,-460,252,-104,1016,
243,-56,258,-196,1020,-320,216,-240,868,-484,252,-104,1008,
244,-108,266,-192,1004,-296,212,-256,852,-488,252,-124,1024,
245,-108,263,-188,1004,-324,215,-260,840,-508,256,-128,1020,
246,-116,269,-192,988,-364,219,-240,836,-528,254,-124,1004,
247,-136,270,-196,976,-380,215,-256,836,-544,255,-116,1016,
248,-124,270,-192,964,-392,217,-240,836,-552,257,-132,1008,
249,-116,270,-188,964,-416,219,-228,852,-544,257,-120,1004,
250,-112,265,-204,992,-384,220,-216,852,-572,257,-128,1016,
251,-120,267,-188,976,-412,217,-224,812,-592,256,-124,1016,
252,-128,266,-208,944,-464,218,-240,820,-580,255,-132,1008,
253,-128,268,-212,976,-448,217,-212,800,-604,259,-124,1016,
254,-144,271,-196,936,-480,218,-220,800,-620,257,-128,1016,
255,-148,273,-188,928,-488,219,-224,800,-620,260,-144,1024,
256,-152,273,-188,928,-508,219,-208,768,-660,261,-140,1012,
257,-168,272,-204,928,-516,220,-208,764,-688,260,-128,1000,
258,-192,278,-196,916,-544,222,-196,748,-692,261,-140,1020,
259,-208,283,-212,868,-536,220,-216,744,-688,260,-160,1004,
260,-212,283,-196,872,-564,221,-220,724,-704,259,-140,984,
261,-244,279,-212,832,-596,219,-220,684,-724,260,-148,988,
262,-272,286,-212,832,-632,222,-228,704,-732,259,-136,984,
263,-284,286,-212,832,-672,221,-216,704,-772,262,-108,988,
264,-304,283,-164,784,-688,221,-168,608,-800,263,-132,988,
265,-304,293,-172,772,-716,224,-184,608,-800,260,-176,948,
266,-352,285,-172,732,-728,225,-224,608,-800,262,-172,968,
267,-384,286,-172,684,-756,226,-156,524,-892,266,-160,944,
268,-412,288,-144,652,-792,227,-160,492,-916,268,-152,932,
269,-456,287,-156,620,-812,225,-196,472,-936,268,-168,920,
270,-472,293,-164,592,-828,228,-180,432,-928,267,-156,924,
271,-472,289,-132,576,-860,226,-156,408,-956,269,-172,904,
272,-488,294,-144,540,-848,227,-160,376,-964,266,-180,896,
273,-504,291,-116,524,-892,229,-148,388,-960,267,-188,896,
274,-524,291,-128,524,-880,227,-160,380,-968,266,-176,896,
275,-528,291,-128,524,-884,226,-156,332,-980,266,-176,896,
276,-528,290,-128,500,-892,229,-156,352,-980,268,-188,876,
277,-532,290,-120,500,-900,226,-164,312,-992,268,-176,876,
278,-532,291,-124,480,-912,227,-164,328,-1000,268,-176,868,
279,-556,289,-124,472,-920,230,-136,304,-988,269,-168,876,
280,-560,291,-84,472,-896,227,-160,284,-996,268,-180,848,
281,-572,292,-64,424,-908,226,-124,260,-1016,269,-156,852,
282,-580,294,-64,424,-940,228,-132,228,-1040,267,-176,836,
283,-596,294,-68,416,-928,229,-132,228,-1032,269,-172,832,
284,-604,289,-48,396,-932,228,-128,220,-1032,268,-172,836,
285,-608,294,-64,392,-940,229,-124,204,-1036,270,-160,836,
286,-624,289,-24,364,-936,231,-108,164,-1048,270,-184,812,
287,-608,292,-28,332,-976,229,-140,176,-1040,270,-160,824,
288,-640,291,-48,332,-948,231,-132,168,-1028,269,-184,812,
289,-640,291,-52,300,-956,228,-120,128,-1040,270,-176,812,
290,-656,289,-20,292,-976,229,-136,112,-1044,271,-176,800,
291,-672,292,-32,272,-968,231,-128,88,-1040,272,-180,800,
292,-676,294,-24,248,-940,229,-144,56,-1040,273,-172,768,
293,-692,294,-48,216,-992,227,-136,-8,-1056,274,-204,764,
294,-700,295,-64,192,-980,231,-124,-4,-1056,275,-184,756,
295,-724,294,-64,172,-980,231,-124,0,-1052,274,-184,744,
296,-732,295,-64,172,-996,230,-148,-16,-1052,277,-188,740,
297,-732,295,-72,156,-1004,234,-148,-44,-1036,276,-184,732,
298,-744,294,-20,156,-1016,232,-144,-64,-1048,276,-180,732,
299,-740,296,-24,124,-1016,231,-144,-64,-1032,274,-188,712,
300,-756,296,-72,116,-984,234,-128,-88,-1052,276,-172,712,
301,-764,293,-28,104,-1000,231,-128,-108,-1052,278,-172,696,
302,-776,295,-44,92,-1016,236,-120,-120,-1048,278,-176,696,
303,-796,295,-44,84,-988,232,-112,-140,-1048,278,-168,688,
304,-792,295,-4,52,-1016,233,-112,-140,-1056,277,-168,688,
305,-792,295,-8,32,-988,238,-108,-152,-1032,278,-172,648,
306,-820,295,-20,12,-1016,233,-104,-176,-1032,278,-172,660,
307,-820,294,-4,8,-1004,234,-88,-196,-1036,280,-168,648,
308,-832,296,-4,-8,-1012,235,-84,-224,-1036,279,-172,632,
309,-848,295,-4,-8,-1024,234,-100,-244,-1024,280,-188,616,
310,-848,299,24,-64,-988,234,-80,-272,-1016,281,-172,608,
311,-864,298,12,-72,-1000,240,-72,-268,-1016,281,-172,596,
312,-876,297,28,-92,-992,238,-92,-284,-1016,279,-176,588,
313,-872,296,16,-108,-996,239,-92,-296,-1012,282,-188,584,
314,-880,299,36,-140,-980,239,-84,-332,-1000,282,-184,560,
315,-868,299,12,-140,-976,239,-84,-368,-996,286,-192,556,
316,-904,297,40,-168,-988,239,-88,-376,-992,284,-192,540,
317,-924,296,4,-192,-980,235,-88,-392,-972,283,-192,524,
318,-916,300,12,-224,-984,234,-72,-412,-984,285,-196,520,
319,-932,300,8,-220,-992,230,-80,-416,-960,286,-196,516,
320,-928,294,20,-220,-980,232,-88,-444,-960,285,-184,504,
321,-948,298,12,-256,-988,232,-64,-456,-948,286,-188,492,
322,-952,302,4,-296,-952,228,-52,-500,-936,286,-188,472,
323,-952,295,12,-288,-948,229,-52,-500,-952,286,-208,464,
324,-956,300,8,-316,-952,229,-68,-516,-932,285,-208,448,
325,-956,300,0,-324,-952,229,-68,-520,-936,286,-192,440,
326,-972,300,4,-340,-948,229,-88,-532,-916,286,-208,432,
327,-968,299,16,-328,-944,230,-64,-560,-912,287,-196,432,
328,-984,297,8,-356,-948,230,-56,-560,-900,285,-200,432,
329,-988,298,28,-368,-940,227,-16,-588,-904,285,-176,404,
330,-996,298,36,-384,-940,233,-20,-576,-904,284,-184,408,
331,-992,301,12,-376,-940,229,-32,-580,-880,285,-184,392,
332,-1000,300,24,-392,-936,224,-28,-576,-872,285,-180,392,
333,-996,300,16,-412,-920,220,-32,-596,-872,285,-180,380,
334,-1000,294,32,-420,-924,221,-12,-600,-860,284,-176,364,
335,-1004,300,16,-440,-920,221,-4,-596,-860,285,-176,340,
336,-1016,300,12,-452,-884,222,-8,-624,-868,285,-184,320,
337,-1020,301,8,-448,-884,220,12,-628,-844,285,-184,316,
338,-1024,298,0,-472,-888,218,28,-648,-856,284,-172,288,
339,-1020,296,4,-496,-900,216,40,-636,-840,285,-176,284,
340,-1032,297,-28,-504,-856,216,36,-660,-836,284,-184,264,
341,-1020,298,-20,-500,-864,215,56,-640,-800,284,-160,264,
342,-1020,298,-108,-552,-824,218,68,-672,-812,284,-172,244,
