time (source1),c1,time (source1),x2,time (source1),y2,time (source1),z2,time (source1),p2,time (source1),r2,time (source1),c2,time (source1),x3,time (source1),y3,time (source1),z3,time (source1),p3,time (source1),r3,time (source1),c3,time (source1),x4,time (source1),y4,time (source1),z4,time (source1),p4,time (source1),r4,time (source1),c4,time (source1),x5,time (source1),y5,time (source1),z5,time (source1),p5,time (source1),r5,time (source1),c5,time (source1),x6,time (source1),y6,time (source1),z6,time (source1),p6,time (source1),r6,time (source1),c6,time (source1),x7,time (source1),y7,time (source1),z7,time (source1),p7,time (source1),r7,time (source1),c7,time (source1),x8,time (source1),y8,time (source1),z8,time (source1),p8,time (source1),r8,time (source1),c8,time (source1),x1,time (source1),y1,time (source1),z1,time (source1),p1,time (source1),r1,Adjusted time,Movements
49.386,0,49.392,0,50.136,0,49.389,0,49.378,0,49.384,0,49.378,0,48.647,0,48.643,0,48.641,0,48.634,0,48.618,0,48.612,0,48.615,0,48.615,0,48.615,0,48.619,0,48.631,0,48.624,0,48.625,-76,48.631,888,48.639,-508,48.635,59,48.646,-8,48.642,181,48.637,-400,48.625,228,48.627,-792,48.62,13,48.62,-26,49.358,183,49.359,396,49.377,-752,49.364,-692,49.372,-45,49.359,32,49.366,189,49.354,80,49.365,640,49.363,-752,49.352,38,49.376,6,49.38,195,50.046,0,50.046,0,50.04,0,49.405,0,49.411,0,23.008,
50.141,0,50.141,0,50.755,0,50.144,0,50.13,0,50.143,0,50.132,0,49.377,0,49.377,0,49.372,0,49.367,0,49.351,0,49.345,0,49.354,0,49.363,0,49.365,0,49.363,0,49.357,0,49.35,0,49.352,-84,49.352,336,49.359,-1080,49.348,16,49.353,-4,49.353,189,49.346,-364,49.347,-480,49.341,-820,49.344,-39,49.35,-18,50.078,190,50.067,404,50.072,-948,50.071,-264,50.058,-59,50.052,60,50.06,147,50.048,64,50.042,432,50.044,-928,50.033,26,50.045,2,50.046,190,50.641,0,50.66,0,50.653,0,50.031,0,50.047,0,23.674,
50.774,0,50.763,0,51.389,0,50.744,0,50.735,0,50.73,0,50.714,0,50.127,0,50.114,0,50.116,0,50.116,0,50.104,0,50.101,0,50.103,0,50.109,0,50.116,0,50.11,0,50.118,0,50.098,0,50.089,-88,50.104,64,50.099,-1060,50.099,2,50.095,-3,50.093,189,50.078,-232,50.071,-796,50.08,-624,50.062,-55,50.077,-23,50.659,190,50.646,348,50.663,-904,50.646,-64,50.644,-68,50.638,88,50.638,108,50.64,16,50.627,336,50.629,-976,50.618,21,50.625,2,50.642,189,51.449,0,51.462,0,51.455,0,50.647,0,50.648,0,24.27,
51.381,0,51.398,0,52.194,0,51.391,0,51.379,0,51.388,0,51.383,0,50.707,0,50.704,0,50.688,0,50.685,0,50.685,0,50.685,0,50.693,0,50.693,0,50.685,0,50.685,0,50.679,0,50.661,0,50.673,-64,50.678,-192,50.675,-1024,50.68,-2,50.668,-5,50.661,192,50.669,-188,50.653,-908,50.647,-360,50.638,-60,50.669,-30,51.428,207,51.435,152,51.441,-748,51.45,224,51.437,-120,51.432,82,51.435,68,51.445,32,51.436,128,51.431,-1008,51.442,8,51.443,1,51.449,187,52.158,0,52.178,0,52.172,0,51.451,0,51.456,0,25.077,
52.187,0,52.201,0,52.915,0,52.195,0,52.2,0,52.192,0,52.186,0,51.371,0,51.377,0,51.378,0,51.381,0,51.363,0,51.368,0,51.368,0,51.392,0,51.391,0,51.402,0,51.396,0,51.389,0,51.403,-84,51.414,-420,51.415,-1016,51.416,-22,51.417,-5,51.413,189,51.403,-220,51.408,-1016,51.41,-264,51.41,-72,51.422,-43,52.141,216,52.144,236,52.144,-1000,52.15,172,52.132,-106,52.138,120,52.145,78,52.151,32,52.136,112,52.137,-976,52.132,7,52.151,2,52.153,191,52.814,0,52.821,0,52.814,0,52.174,0,52.18,0,25.781,
52.91,0,52.92,0,53.553,0,52.909,0,52.9,0,52.909,0,52.886,0,52.187,0,52.183,0,52.198,0,52.189,0,52.171,0,52.154,0,52.162,0,52.168,0,52.169,0,52.179,0,52.173,0,52.182,0,52.172,-24,52.17,-520,52.161,-904,52.148,-29,52.153,-2,52.139,189,52.122,-168,52.131,-1024,52.125,-168,52.128,-77,52.127,-33,52.826,222,52.835,200,52.837,-992,52.82,184,52.824,-106,52.807,131,52.815,68,52.81,48,52.801,80,52.795,-1008,52.791,3,52.811,1,52.817,189,53.613,0,53.644,0,53.632,0,52.814,0,52.813,0,26.445,Start of pose 3
53.544,0,53.547,0,54.369,0,53.556,0,53.546,0,53.535,0,53.528,0,52.884,0,52.878,0,52.89,0,52.876,0,52.859,0,52.846,0,52.855,0,52.855,0,52.86,0,52.851,0,52.847,0,52.829,0,52.831,-44,52.85,-576,52.848,-900,52.851,-33,52.844,-2,52.84,189,52.839,-124,52.827,-1076,52.828,-116,52.831,-81,52.826,-45,53.556,213,53.552,204,53.576,-992,53.588,200,53.583,-105,53.573,136,53.589,65,53.579,32,53.571,48,53.589,-992,53.583,2,53.589,1,53.607,189,54.315,0,54.317,0,54.316,0,53.627,0,53.631,0,27.235,
54.361,0,54.373,0,55.047,0,54.355,0,54.362,0,54.351,0,54.347,0,53.535,0,53.518,0,53.513,0,53.519,0,53.518,0,53.504,0,53.508,0,53.523,0,53.516,0,53.524,0,53.525,0,53.52,0,53.528,-52,53.539,-568,53.54,-908,53.546,-31,53.554,-3,53.554,188,53.537,-148,53.531,-1076,53.537,-116,53.537,-81,53.548,-59,54.326,215,54.323,216,54.323,-996,54.324,216,54.321,-106,54.309,136,54.319,63,54.302,48,54.304,48,54.31,-992,54.297,2,54.313,2,54.313,188,54.994,0,55.001,0,55.005,0,54.319,0,54.312,0,27.941,
55.048,0,55.042,0,55.745,0,55.039,0,55.05,0,55.048,0,55.044,0,54.339,0,54.342,0,54.349,0,54.336,0,54.314,0,54.316,0,54.313,0,54.318,0,54.323,0,54.323,0,54.335,0,54.316,0,54.317,-40,54.328,-572,54.33,-896,54.328,-33,54.333,-3,54.328,189,54.317,-132,54.312,-1060,54.312,-76,54.305,-81,54.306,-54,55.016,229,55.004,216,55.004,-976,54.998,216,55.002,-106,54.99,136,54.999,67,55.002,48,54.984,64,54.978,-1008,54.974,3,54.975,2,54.974,189,55.748,0,55.758,0,55.757,0,55.004,0,55.008,0,28.602,
55.759,0,55.751,0,56.478,0,55.747,0,55.742,0,55.754,0,55.744,0,55.03,0,55.02,0,55.012,0,55.003,0,55,0,54.988,0,54.996,0,55.009,0,55.002,0,55.006,0,55.007,0,54.995,0,55.008,-52,55.013,-580,55.02,-900,55.008,-33,55.012,-3,55.015,189,54.996,-132,54.984,-1056,54.993,-72,54.997,-82,55.001,-68,55.76,229,55.743,236,55.75,-968,55.766,236,55.753,-106,55.736,133,55.738,62,55.739,32,55.728,64,55.723,-1008,55.725,3,55.74,2,55.747,189,56.456,0,56.458,0,56.464,0,55.762,0,55.752,0,29.375,
