,x1,y1,z1,x3,y3,z3,y1_var,y1_resampled,y1_actual_signal
10,704,904,708.0,912.0,708.0,964.0,2520.96,,872.0
11,720,620,732.0,796.0,776.0,716.0,5177.76,,912.0
12,776,736,768.0,828.0,768.0,632.0,5893.76,,848.0
13,744,736,744.0,696.0,708.0,696.0,6252.8,,836.0
14,724,696,712.0,696.0,712.0,796.0,6014.24,,808.0
15,728,756,740.0,748.0,732.0,748.0,5623.839999999999,,804.0
16,720,748,724.0,748.0,724.0,748.0,3799.8399999999992,,816.0
17,740,748,728.0,716.0,724.0,716.0,3403.040000000001,,780.0
18,720,748,728.0,752.0,728.0,724.0,2206.2400000000002,,792.0
19,748,724,748.0,724.0,740.0,724.0,4326.5599999999995,,568.0
20,752,724,756.0,664.0,756.0,664.0,6896.0,,536.0
21,752,664,752.0,712.0,724.0,740.0,13512.959999999997,,392.0
22,704,740,764.0,740.0,736.0,740.0,18432.8,,376.0
23,752,704,744.0,760.0,800.0,744.0,32522.24,,168.0
24,772,736,784.0,852.0,792.0,816.0,39203.2,,176.0
25,812,872,752.0,856.0,760.0,828.0,48359.840000000004,,88.0
26,760,912,736.0,808.0,748.0,852.0,56615.840000000004,,-56.0
27,752,848,820.0,816.0,836.0,816.0,58862.240000000005,,-56.0
28,812,836,800.0,888.0,772.0,808.0,52080.64,,-48.0
29,768,808,768.0,808.0,768.0,720.0,80185.75999999998,,-508.0
30,768,804,768.0,784.0,828.0,816.0,97872.8,,-592.0
31,828,816,740.0,772.0,740.0,784.0,106689.43999999999,,-592.0
32,724,780,724.0,804.0,764.0,828.0,103747.2,,-660.0
33,756,792,756.0,828.0,720.0,792.0,99847.2,,-612.0
34,704,772,720.0,716.0,728.0,808.0,86947.2,,-684.0
35,740,752,744.0,780.0,720.0,788.0,80614.56,,-860.0
36,744,788,720.0,760.0,708.0,744.0,79252.64,,-952.0
37,708,796,700.0,732.0,724.0,768.0,54346.4,,-792.0
38,720,768,700.0,768.0,664.0,820.0,19540.64,,-872.0
39,660,720,724.0,748.0,724.0,748.0,16584.96,,-872.0
40,740,724,736.0,724.0,736.0,724.0,20999.04,,-1048.0
41,720,724,720.0,772.0,720.0,772.0,21254.4,,-1048.0
42,720,760,720.0,748.0,748.0,792.0,17667.359999999997,,-848.0
43,748,792,748.0,792.0,748.0,792.0,11501.439999999999,,-968.0
44,748,740,724.0,764.0,744.0,756.0,6775.039999999999,,-964.0
45,744,768,744.0,752.0,744.0,732.0,13669.76,,-644.0
46,744,776,744.0,768.0,756.0,756.0,17930.239999999998,,-1120.0
47,760,724,748.0,772.0,740.0,760.0,26608.640000000003,,-1272.0
48,760,736,764.0,764.0,740.0,748.0,25687.039999999997,,-1000.0
49,748,748,728.0,772.0,752.0,784.0,24432.639999999996,,-984.0
50,752,784,748.0,744.0,756.0,764.0,24092.96,,-1004.0
51,756,764,756.0,764.0,756.0,764.0,24003.2,,-916.0
52,756,764,756.0,764.0,720.0,728.0,22784.64,,-912.0
53,736,760,708.0,732.0,708.0,732.0,23183.359999999997,,-912.0
54,708,692,704.0,704.0,684.0,736.0,24598.560000000005,,-848.0
55,712,744,676.0,624.0,664.0,636.0,13840.64,,-928.0
56,648,664,664.0,668.0,616.0,708.0,12309.76,,-912.0
57,588,644,592.0,688.0,576.0,536.0,2161.44,,-908.0
58,552,568,532.0,568.0,576.0,548.0,8964.64,,-628.0
59,468,536,464.0,436.0,432.0,428.0,11191.039999999999,,-724.0
